,Name,Ratings,Price
1349,"""HP 15-bw032WM 15.6"""" Laptop Bundle, Windows 10, AMD A12-9720 Quad Core Processor, 8GB Memory, 1TB HDD, Wireless Mouse and Backpack, Smoke Gray""",3.5,423.0
549,"""HP 15.6"""" Laptop, Windows 10 Home, AMD A9-9420 Dual-Core Processor, 4GB RAM, 1TB Hard Drive (Assorted Colors)""",3.8,379.99
2813,"""HP 17-Ak010Nr 17.3"""" Laptop, Windows 10 Home, AMD A9-9420 Dual-Core Processor, 4GB RAM, 500GB Hard Drive""",2.0,442.99
149,"""HP 17-Bs010Nr 17.3"""" Laptop, Windows 10 Home, Intel Pentium N3710 Quad-Core Processor, 4GB RAM, 1TB Hard Drive""",4.333,514.46
399,"""HP 17-Bs020Nr 17.3"""" Laptop, Touchscreen, Windows 10 Home, Intel Core i3-6006U Dual-Core Processor, 8GB RAM, 1TB Hard Drive""",4.333,515.0
3674,"""HP Black 15.6"""" 15-f211wm Laptop PC with Intel Celeron N2840 Processor, 4GB Memory, touch screen, 500GB Hard Drive and Windows 10 Home""",4.006,383.0
4,"""HP Black 15.6"""" 15-f233wm Laptop PC with Intel Celeron N3050 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home""",3.268,279.0
13,"""HP Black Licorice 15.6"""" 15-F387WM Laptop PC with AMD A8-7410 Processor, 4GB Memory, touch screen, 500GB Hard Drive and Windows 10 Home""",3.797,329.0
1123,"""HP Envy 13-d040wm 13.3"""" Laptop,  Quad HD+ Display, Windows 10, Intel Core i7-6500U Processor, 8GB Memory, 256GB  Solid State Drive, Natural Silver""",5.0,999.0
2748,"""HP Envy 15-as014wm 15.6"""" Laptop, Full-HD IPS Touch Screen, Windows 10, Intel Core i7-6500U Processor, 8GB Memory, 1TB Hard Drive, Natural Silver""",5.0,799.0
999,"""HP Envy 17-U110Nr 17.3"""" Laptop, Touchscreen, Windows 10 Home, Intel Core i7-7500U Dual-Core Processor, 12GB RAM, 1TB Hard Drive""",3.0,999.99
2938,"""HP Envy X360 15-Aq165Nr 15.6"""" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Core i7-7500U Dual-Core Processor, 8GB RAM, 1TB Hard Drive""",2.0,849.99
6,"""HP Flyer Red 15.6"""" 15-f272wm Laptop PC with Intel Pentium N3540 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home""",3.721,299.0
3899,"""HP HP Omen Laptop 15.6"""" FHD Screen, Intel Core i7-7700HQ, 2.8GHZ, NVIDIA GeForce GTX 1050 Ti 4GB GDDR5, 8GB DDR4 Memory, 1TB HD 128GB SSD, Windows Home 10, 15-ax210nr""",5.0,949.99
2374,"""HP Jaguar 15-bs060wm, 15.6"""" Touch Natural Silver Laptop, Windows 10, Intel Core i3-7100U Processor, 8GB Memory, 1TB Hard Drive""",4.444,359.0
21,"""HP Jaguar 15-bs070wm, 15.6"""" Natural Silver Touch Laptop, Windows 10, Intel Core i5-7200U Processor, 8GB Memory, 1TB Hard Drive""",4.556,489.0
624,"""HP Jaguar 15-bs080wm, 15.6"""" Natural Silver Touch Laptop, Windows 10, Intel Core i7-7500U Processor, 8GB Memory, 1TB Hard Drive""",4.667,599.0
774,"""HP Omen Laptop 17.3"""" FHD Screen, Intel Core i7-7700HQ, 2.8GHZ, NVIDIA GeForce GTX 1050Ti 4GB GDDR5 Graphic Card, 8GB DDR4, 1TB HD 128GB SSD, Windows Home 10, HP 17-W210Nr""",4.5,1033.98
1049,"""HP Omen Laptop, 17.3"""" FHD Screen, Intel Core i7-7700HQ, 2.8GHZ, NVIDIA GeForce GTX 1060 GDDR5 Graphic Card, 12GB DDR4 Memory, 1TB HD + 128GB SSD, Windows Home 10, HP 17-W220Nr""",4.0,1199.99
3997,"""HP Onyx Blizzard 15.6"""" Laptop, FHD Screen, Intel core i5-7300hq, AMD Radeon RX 550 2GB Graphic Card, 12GB Memory, 1TB HD, Windows 10 home, 15-cb035wm""",5.0,719.0
1374,"""HP Onyx Blizzard 15.6"""" Laptop, FHD Screen, Intel core i7-7700, Nvidia GeForce GTX 1050 4 GB Graphic Card, 12GB Memory, 1TB HD, Windows 10 home, 15-cb045wm""",4.8,799.0
2599,"""HP Pavilion 15-au010wm 15.6"""" Liquid Platinum Gaming Laptop, Windows 10, Intel Core i7-6500U Processor, NVIDIA GeForce 940MX Graphics, 12GB Memory, 1TB Hard Drive""",3.294,539.0
2524,"""HP Pavilion 15-au018wm 15.6"""" Liquid Platinum Gaming Laptop, Touch Screen, Windows 10, Intel Core i7-6500U Processor, NVIDIAￂﾮ GeForce 940MX Graphics, 12GB Memory, 1TB Hard Drive""",3.722,559.0
74,"""HP Pavilion 15-au020wm 15.6"""" Manhattan Gold Laptop, Windows 10, Intel Core i5-6200U Processor, 8GB Memory, 1TB Hard Drive""",3.743,546.0
849,"""HP Pavilion 15-au030wm 15.6"""" Manhattan Gold Laptop, Touch Screen, Windows 10,  Intel Core i5-6200U Processor, 8GB Memory, 1TB Hard Drive""",3.308,554.0
3299,"""HP Pavilion 15-bk020wm X360 15.6"""" Laptop, Touch Screen, 2 in 1, Windows 10,  Intel Core i5-6200U Processor, 8GB Memory, 1TB Hard Drive, Natural Silver""",3.941,535.0
1299,"""HP Pavilion 15-br080wm X360 15.6"""" Touchscreen 2 in 1 Laptop, Windows 10, Intel Corei5-7200U Processor, 8GB Memory, 1TB Hard Drive, and Active Pen Included, Mineral Silver""",4.0,549.0
1699,"""HP Pavilion 15-cc051wm 15.6"""" Touchscreen Opulent Blue Laptop, Windows 10, Intel Core i5-7200U, 12GB Memory, 1TB Hard Drive, DVD, 802.11 AC + Bluetooth""",4.0,499.0
1473,"""HP Pavilion 17-ar050wm, 17.3"""" Laptop, Full HD IPS Dislpay, Windows 10 Home, AMD A10-9620P QC, 8GB Memory, 1TB Hard Drive, Mineral Silver""",3.944,499.0
449,"""HP Pavilion X360 13-U163Nr 13.3"""" Laptop, 2-in-1, Touchscreen, Windows 10 Home, Intel Core i5-7200U Dual-Core Processor, 8GB RAM, 1TB Hard Drive""",4.0,599.99
3174,"""HP Silver 17.3"""" Pavilion 17-g121wm Laptop PC with AMD A10-8700P Processor, 8GB Memory, 1TB Hard Drive and Windows 10 Home""",3.416,569.0
2,"""HP Silver Iridium 15.6"""" Laptop, Touchscreen, Intel Core i7-7500u, Intel HD Graphic 620 Graphic Card, 12GB Memory, 1TB HD, Windows 10 Home, 15-cc060wm""",3.875,699.0
7,"""HP Silver Iridium Ci5 15-cc050wm 15.6"""" Laptop, Touchscreen, Windows 10 Home, Intel Core i5-7200U Processor, 12GB Memory, 1TB Hard Drive""",4.5,569.0
12,"""HP Stream 11.6"""" Laptop, Windows 10 Home, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage, Refurbished""",3.35,119.0
18,"""HP Stream 11.6"""" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",3.508,199.0
2399,"""HP Stream 14"""" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",3.808,219.0
0,"""HP Stream 14"""" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",3.568,219.0
